outliers,auc,trials,sigma
350,0.15002173536054028,4,0.0001
350,0.15012961916299455,5,0.0001
350,0.14991296339637167,6,0.0001
350,0.1501531269556795,7,0.0001
350,0.15016475017711942,8,0.0001
350,0.15020029992795306,9,0.0001
375,0.1498076769634818,0,0.0001
375,0.14958984757922797,1,0.0001
375,0.14986684655276164,2,0.0001
375,0.14960406413943939,3,0.0001
375,0.14996011628510783,4,0.0001
375,0.14970969319955807,5,0.0001
375,0.14958761440391508,6,0.0001
375,0.1498477318076769,7,0.0001
375,0.14998132474290704,8,0.0001
375,0.15031614602700685,9,0.0001
400,0.14999618631620648,0,0.0001
400,0.1497965162274634,1,0.0001
400,0.14995061187991765,2,0.0001
400,0.14965196742125267,3,0.0001
400,0.14986406254173967,4,0.0001
400,0.14962604384855296,5,0.0001
400,0.14976900702920976,6,0.0001
400,0.14964620615289773,7,0.0001
400,0.14975794434181394,8,0.0001
400,0.14988776019877617,9,0.0001
425,0.14957782530123118,0,0.0001
425,0.14976475562149055,1,0.0001
425,0.14964588324627193,2,0.0001
425,0.14956850327028276,3,0.0001
425,0.14976130986437633,4,0.0001
425,0.14987960209050794,5,0.0001
425,0.14962397280246123,6,0.0001
425,0.14953834306895442,7,0.0001
425,0.1496444935302115,8,0.0001
425,0.1497568092321072,9,0.0001
450,0.1497258775204791,0,0.0001
450,0.1498198983930437,1,0.0001
450,0.14973492800562246,2,0.0001
450,0.14971449475740814,3,0.0001
450,0.14956711893070784,4,0.0001
450,0.14956421879333326,5,0.0001
450,0.14972537577612433,6,0.0001
450,0.14954472961931858,7,0.0001
450,0.14950995844149592,8,0.0001
450,0.14950319272794213,9,0.0001
475,0.14959474514959528,0,0.0001
475,0.14963347216928122,1,0.0001
475,0.14952382875061648,2,0.0001
475,0.14953025034991047,3,0.0001
475,0.14953328544253836,4,0.0001
475,0.14944575346663594,5,0.0001
475,0.14959241208681467,6,0.0001
475,0.14949669191343826,7,0.0001
475,0.1495518504880978,8,0.0001
475,0.14953734074302,9,0.0001
500,0.14952610481001408,0,0.0001
500,0.14952713877100884,1,0.0001
500,0.14955488552399704,2,0.0001
500,0.1496353775891231,3,0.0001
500,0.14946538925766065,4,0.0001
500,0.1496303962609063,5,0.0001
500,0.14954601250542648,6,0.0001
500,0.14951643327816727,7,0.0001
500,0.1495742543982385,8,0.0001
500,0.14947881998714516,9,0.0001
0,0.8579302434265236,0,0.001
0,0.857921034962533,1,0.001
0,0.8579326563444836,2,0.001
0,0.8579448117828856,3,0.001
0,0.8579575304088444,4,0.001
0,0.8579013686120348,5,0.001
0,0.8578958314904808,6,0.001
0,0.8579616789658319,7,0.001
0,0.8579286369925311,8,0.001
0,0.8579402018479737,9,0.001
25,0.8579454658098586,0,0.001
25,0.857940252091144,1,0.001
25,0.8578883460103657,2,0.001
25,0.8579247511239502,3,0.001
25,0.8579134587791827,4,0.001
25,0.8578861755449788,5,0.001
25,0.8578980855728625,6,0.001
25,0.8579782794656787,7,0.001
25,0.8579148744389099,8,0.001
25,0.8578900026249981,9,0.001
50,0.8579953352763898,0,0.001
50,0.8579246756133438,1,0.001
50,0.8578589261600237,2,0.001
50,0.8578893152393501,3,0.001
50,0.8579532470567972,4,0.001
50,0.8579367638301234,5,0.001
50,0.8579196561477114,6,0.001
50,0.8578869385142395,7,0.001
50,0.8578989682064392,8,0.001
50,0.8579306585511353,9,0.001
75,0.8579354391698454,0,0.001
75,0.8579024808111215,1,0.001
75,0.8578651990478613,2,0.001
75,0.8576505978687828,3,0.001
75,0.8579168366228113,4,0.001
75,0.857869940204576,5,0.001
75,0.857941195637059,6,0.001
75,0.8577087920274494,7,0.001
75,0.8576963710395527,8,0.001
75,0.8579334766339688,9,0.001
100,0.8579005602036468,0,0.001
100,0.8579555504713073,1,0.001
100,0.8579466916402064,2,0.001
100,0.8579124360659228,3,0.001
100,0.857772479932368,4,0.001
100,0.8579197358122381,5,0.001
100,0.8578374516499084,6,0.001
100,0.8578672047380893,7,0.001
100,0.8579015917865522,8,0.001
100,0.8579511702861125,9,0.001
125,0.856846384583404,0,0.001
125,0.8576320710030246,1,0.001
125,0.8568964146094502,2,0.001
125,0.8571125022698887,3,0.001
125,0.8575565702187622,4,0.001
125,0.85791225863126,5,0.001
125,0.8574838926312878,6,0.001
125,0.8576018445217362,7,0.001
125,0.8569426032308599,8,0.001
125,0.8575355486330415,9,0.001
150,0.8575222779019098,0,0.001
150,0.856428559949786,1,0.001
150,0.8571409715291716,2,0.001
150,0.8551157042456823,3,0.001
150,0.8554136683902741,4,0.001
150,0.8348572522197397,5,0.001
150,0.8571126767453171,6,0.001
150,0.8561406761051484,7,0.001
150,0.8572252033179084,8,0.001
150,0.8546336671722359,9,0.001
175,0.8510654696956595,0,0.001
175,0.8274679624820904,1,0.001
175,0.8536770925262872,2,0.001
175,0.8568921029696528,3,0.001
175,0.8577355067279097,4,0.001
175,0.8577724291631688,5,0.001
175,0.8575678226992758,6,0.001
175,0.8572992356384281,7,0.001
175,0.8306925738659695,8,0.001
175,0.8576688459862991,9,0.001
200,0.85619302796703,0,0.001
200,0.8560166875502476,1,0.001
200,0.8564418147869164,2,0.001
200,0.8464482405921385,3,0.001
200,0.3747916613070177,4,0.001
200,0.8507259565063936,5,0.001
200,0.8538410495878328,6,0.001
200,0.8562310356807529,7,0.001
200,0.8572151945625542,8,0.001
200,0.837985982176768,9,0.001
225,0.8489921690606937,0,0.001
225,0.7051098671022797,1,0.001
225,0.8138299398501583,2,0.001
225,0.42533239778413223,3,0.001
225,0.2722745182729002,4,0.001
225,0.847472473623266,5,0.001
225,0.8416563263111211,6,0.001
225,0.3260552650142573,7,0.001
225,0.8445239343150789,8,0.001
225,0.25544359949226586,9,0.001
250,0.32220817789519285,0,0.001
250,0.20484064555013018,1,0.001
250,0.4166788958955656,2,0.001
250,0.8392273887532449,3,0.001
250,0.22728432724158562,4,0.001
250,0.23327011933016153,5,0.001
250,0.4627526930493884,6,0.001
250,0.7888982592323172,7,0.001
250,0.3745199407601965,8,0.001
250,0.775232681946726,9,0.001
275,0.2626674533706728,0,0.001
275,0.30966411247616726,1,0.001
275,0.3000130377549269,2,0.001
275,0.18983488637816545,3,0.001
275,0.24240538095844016,4,0.001
275,0.19890514371105325,5,0.001
275,0.4734389554292198,6,0.001
275,0.3130989395443252,7,0.001
275,0.4583084624986553,8,0.001
275,0.17536362282982124,9,0.001
300,0.2029804571819331,0,0.001
300,0.17257212527436397,1,0.001
300,0.1889720700991306,2,0.001
300,0.1785531821014881,3,0.001
300,0.6672308132853539,4,0.001
300,0.1660773963618875,5,0.001
300,0.18704537772368662,6,0.001
300,0.2443814784772776,7,0.001
300,0.5399487615811502,8,0.001
300,0.19165502814264176,9,0.001
325,0.1777991703651177,0,0.001
325,0.22127815439567597,1,0.001
325,0.28318942951032333,2,0.001
325,0.18245035759873668,3,0.001
325,0.16406744130485348,4,0.001
